Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	3264	2715	26.101	41.608	863.5	19.983	0.99975365	1.1774403e-08	0.00013977212	9.483068e-05	2.7059407e-06	8.988836e-06
21	1	3533	2622	26.926	62.362	1380.0	15.709	0.9999074	4.372226e-07	7.272294e-09	1.4742114e-06	1.9493862e-06	8.8796805e-05
21	2	1351	2611	25.632	60.407	1223.0	19.537	0.97870034	1.6635427e-06	4.149402e-08	0.008728773	2.017504e-05	0.012549035
21	3	3044	2231	23.114	52.405	980.0	37.694	0.99997735	2.7773928e-07	7.602421e-07	1.3255388e-05	4.294477e-06	4.0792706e-06
21	4	2849	2177	30.516	66.017	1588.5	1.302	0.9995639	2.1673352e-09	2.4371524e-10	3.0508383e-07	1.41715075e-08	0.0004357521
21	5	3052	1839	26.163	63.281	1427.5	63.435	0.9999665	1.09540345e-07	1.3124242e-08	7.0737387e-06	8.2640656e-07	2.5570895e-05
21	6	4522	1605	28.609	63.832	1426.5	5.44	0.9996966	2.225966e-07	5.2501745e-09	3.4629664e-07	7.1826634e-07	0.0003020498
21	7	4070	1414	24.698	57.454	1103.5	31.827	0.99999523	1.4774402e-08	3.5674102e-08	2.6927353e-06	5.968786e-08	1.9197535e-06
21	8	4777	1293	30.265	66.611	1597.0	8.13	0.9997843	2.9771565e-08	5.105733e-10	2.4144908e-06	4.058346e-08	0.00021321651
21	9	87	1251	35.355	42.426	1161.0	45.0	0.9995283	2.1012609e-06	2.6686637e-08	8.643107e-06	4.3115975e-08	0.0004609007
21	10	1688	1015	23.521	64.018	1200.0	1.432	0.9812475	7.888508e-05	2.4190497e-08	5.8797494e-05	0.00024063628	0.01837428
21	11	1706	831	24.99	51.23	1059.0	19.093	0.9999591	7.235677e-08	3.6141583e-09	8.305706e-07	7.840658e-07	3.9191833e-05
21	12	293	696	27.354	56.136	1218.0	17.879	0.9081972	6.252236e-07	8.52959e-09	0.0036640088	1.2949969e-06	0.08813684
21	13	1209	626	27.166	56.321	1270.0	83.83	0.9976229	2.3338274e-08	9.679624e-09	0.000102915335	1.4653305e-07	0.0022739032
21	14	2842	575	27.609	65.508	1504.5	36.254	0.96883494	1.564427e-07	1.5270417e-09	0.0015879816	7.3920535e-07	0.0295762
22	0	3281	2708	26.87	36.069	792.5	45.0	0.99982554	3.9153235e-07	2.3301429e-05	1.0935198e-05	2.1819376e-06	0.000137664
22	11	1740	838	25.48	42.582	870.0	15.945	0.99996316	7.167603e-08	1.8890142e-06	2.2569884e-05	1.0824558e-06	1.1188012e-05
22	3	3080	2240	23.345	48.508	948.0	81.469	0.99622935	1.412482e-05	0.000109382454	0.0003428471	0.0030930883	0.00021112552
22	7	4055	1445	26.163	36.062	760.0	45.0	0.99991965	1.1827236e-07	7.920503e-06	5.140919e-07	7.545722e-07	7.1129834e-05
22	13	1210	584	27.019	56.08	1233.5	2.603	0.9999819	2.1317343e-08	2.012004e-07	9.362088e-06	2.8814044e-08	8.379415e-06
22	12	293	740	25.283	54.583	1111.5	65.772	0.32896245	4.12689e-06	5.0948092e-06	0.44782215	6.2734645e-05	0.22314344
22	1	3579	2618	28.178	63.063	1408.0	62.592	0.99999416	6.7805215e-09	8.300263e-11	3.85346e-09	1.647259e-08	5.8680725e-06
22	4	2828	2137	28.32	75.743	1723.5	42.357	0.9866219	1.4011855e-06	3.688482e-08	0.0003459666	6.277211e-06	0.0130245015
22	8	4732	1304	30.806	65.215	1574.5	54.09	0.99684465	1.0978834e-07	2.3014654e-07	0.0030851194	4.4530353e-07	6.942319e-05
22	2	1304	2607	25.831	61.362	1268.5	75.964	0.9995815	2.2037501e-07	1.7554788e-07	0.00029291344	1.1833949e-06	0.00012407101
22	14	2881	547	29.232	66.11	1517.0	77.196	0.9999939	6.519481e-09	3.1425515e-10	2.8694172e-08	7.3241836e-08	6.0430316e-06
22	9	55	1276	29.833	68.884	1718.5	50.194	0.9754286	1.256714e-06	1.0315944e-09	8.80204e-05	1.210194e-06	0.024480889
22	5	3080	1880	26.907	63.781	1398.5	41.496	0.999853	2.0679058e-06	2.9165636e-07	1.842514e-05	1.1960426e-05	0.00011424844
22	10	1640	995	23.345	64.444	1255.0	42.089	0.99983835	1.223331e-06	5.1207873e-09	2.558296e-07	1.8286045e-06	0.00015837286
22	6	4575	1591	28.018	67.676	1419.5	55.561	0.99992704	1.7494112e-07	4.3407926e-08	5.7566217e-07	1.8709262e-06	7.0411705e-05
23	0	3277	2707	26.0	35.0	722.0	90.0	0.9999397	5.4455177e-07	5.1838074e-06	2.9691253e-05	2.270219e-06	2.2633283e-05
23	7	4034	1442	25.632	48.466	1009.5	21.801	0.9992107	5.9364373e-07	2.4538851e-06	0.0007201699	1.7185082e-05	4.875675e-05
23	11	1751	857	24.0	44.0	931.5	90.0	0.9999994	5.9233187e-09	6.424728e-08	2.5564006e-07	5.270359e-09	2.7546096e-07
23	13	1199	549	26.519	54.123	1198.0	46.469	0.9999473	6.729047e-08	1.0389631e-09	1.1425049e-06	6.8794535e-09	5.1504787e-05
23	8	4709	1330	29.069	44.721	1072.0	26.565	0.9994159	3.938809e-06	2.7655503e-08	1.2645141e-06	2.4458739e-08	0.0005788206
23	3	3122	2233	23.022	56.036	1065.5	88.21	0.8999503	0.00025281767	4.3228953e-05	0.0055097807	0.06966906	0.024574805
23	5	3123	1894	28.16	62.29	1394.5	84.289	0.99998975	1.8247228e-08	2.3758767e-07	3.1718926e-06	3.3088367e-07	6.4653373e-06
23	1	3614	2586	26.707	62.235	1410.0	38.66	0.99993706	1.0451647e-07	1.7769001e-09	1.0975928e-06	5.0982454e-08	6.1654464e-05
23	12	319	780	23.854	61.294	1202.0	56.31	0.9765147	2.9398347e-05	9.219656e-05	0.020315683	2.0710651e-05	0.0030273958
23	2	1259	2624	24.192	61.824	1238.5	70.907	0.9864038	1.4896047e-05	2.4565168e-07	0.003369533	0.00012803625	0.010083483
23	14	2934	546	26.077	68.264	1516.5	4.399	0.9999738	1.0933345e-07	3.3923502e-09	1.6549175e-06	5.112302e-07	2.3952198e-05
23	4	2787	2103	28.284	76.368	1739.5	45.0	0.996243	3.0814272e-06	2.8927853e-09	7.722969e-06	2.2449735e-06	0.0037439896
23	10	1604	959	23.601	57.201	1105.0	36.158	0.99967337	1.1889371e-06	2.3580524e-06	4.9999562e-05	2.9169923e-06	0.00027009926
23	6	4613	1555	26.87	69.311	1553.5	46.219	0.9791018	1.3299696e-05	7.741908e-08	2.399861e-05	4.5720626e-06	0.020856231
24	0	3270	2700	27.987	42.217	938.5	18.435	0.99897075	7.5934855e-07	1.9012343e-05	9.345266e-06	2.0672164e-06	0.0009979671
24	8	4698	1328	31.828	45.255	1158.5	45.0	0.9996124	1.1450232e-06	2.9482248e-07	1.8259114e-05	6.793118e-08	0.00036789643
24	11	1752	899	24.331	58.052	1165.5	79.824	0.99992526	3.1426043e-07	1.8283519e-06	2.6316307e-05	1.8651687e-06	4.4467102e-05
24	7	3991	1430	24.0	59.0	1162.0	90.0	0.9959907	1.1610211e-06	4.92931e-06	0.00022632879	0.0013631843	0.0024136384
24	13	1168	522	26.173	55.866	1228.0	46.219	0.96697116	8.414296e-06	5.591603e-07	1.2401498e-05	4.2423108e-06	0.033003163
24	10	1578	949	25.0	29.0	596.0	90.0	0.9999695	5.5986925e-06	5.203249e-06	3.3059673e-06	4.1956284e-07	1.5929125e-05
24	1	3644	2559	28.623	51.393	1143.5	70.821	0.99840814	8.135001e-07	7.622896e-07	0.000104957064	5.7395214e-06	0.001479609
24	3	3165	2249	24.418	54.857	1080.0	42.709	0.9999759	1.0908934e-07	2.2254595e-08	7.96948e-06	3.1586542e-06	1.28564425e-05
24	5	3170	1878	26.833	62.61	1450.5	63.435	0.9994191	4.5525996e-07	4.622174e-08	9.327926e-06	3.222165e-05	0.0005389693
24	2	1213	2626	25.298	59.135	1253.5	18.435	0.99993646	4.498546e-07	6.6521274e-08	5.03839e-06	3.4152824e-06	5.4542994e-05
24	12	331	824	27.789	56.641	1242.0	8.616	0.9967577	3.6107707e-07	6.9755146e-08	8.7194734e-05	3.2283995e-07	0.0031543407
24	6	4651	1533	29.155	57.315	1351.5	84.289	0.99900335	6.005451e-08	4.5249624e-08	1.9441395e-05	1.10107756e-07	0.0009770514
24	4	2769	2059	30.0	72.0	1735.0	90.0	0.99998105	3.3159894e-10	4.9117943e-10	9.5359525e-07	7.8061655e-09	1.804986e-05
24	14	2981	545	27.286	56.147	1241.5	75.964	0.9999089	2.0354713e-07	1.5676895e-07	3.1475323e-05	5.662185e-06	5.360698e-05
25	10	1590	959	24.698	38.588	754.0	30.964	0.9983369	3.667263e-06	0.00015706896	0.00013704515	3.403619e-05	0.0013312249
25	0	3271	2676	27.0	35.0	730.0	90.0	0.99932516	7.5078287e-06	0.0004079325	7.884005e-05	2.1423988e-05	0.00015915484
25	8	4666	1304	30.418	68.237	1678.5	24.677	0.9999957	1.8469465e-09	1.105133e-11	3.258499e-07	3.1753116e-09	3.9182896e-06
25	1	3680	2564	26.856	58.389	1340.5	24.624	0.9999981	6.6767623e-09	2.892373e-10	2.3139812e-07	6.317385e-08	1.6624367e-06
25	13	1155	487	27.019	53.085	1223.0	3.18	0.9992519	8.524447e-07	1.3981679e-07	2.0502212e-05	1.3057071e-06	0.0007252974
25	3	3186	2280	25.269	41.815	803.0	63.435	0.99783355	7.269667e-07	0.0015172955	0.00048916554	4.0659685e-05	0.00011859028
25	5	3205	1867	28.779	48.582	1063.5	8.531	0.999818	4.7246633e-08	5.893311e-06	0.00012673221	4.000046e-06	4.5300854e-05
25	14	3012	521	27.609	60.747	1424.0	34.695	0.9999895	2.8754845e-09	2.0030506e-10	4.284417e-06	3.4228623e-08	6.1528262e-06
25	11	1775	939	25.239	56.303	1155.0	33.69	0.99995315	6.437964e-07	2.0110753e-07	1.0815215e-06	2.9818598e-06	4.1924686e-05
25	6	4694	1544	28.43	69.399	1661.5	23.749	0.9996056	3.438927e-07	2.6558487e-09	6.3163216e-06	3.5515045e-06	0.0003841726
25	7	3944	1443	23.308	59.23	1111.5	55.008	0.9764533	2.653803e-05	1.1620887e-06	0.006926706	9.611259e-05	0.016496092
25	12	316	867	27.065	53.465	1187.0	24.775	0.509892	9.621361e-07	1.7171303e-07	0.3507959	8.036347e-06	0.13930292
25	2	1168	2605	24.885	61.002	1238.0	21.801	0.90246636	1.2220054e-05	6.8241815e-07	0.060509108	0.00016567881	0.036845986
25	4	2780	2009	27.203	75.286	1700.0	16.699	0.8463623	2.8755682e-07	2.8382667e-07	0.14002158	7.182007e-06	0.013608436
26	0	3279	2678	24.839	42.638	879.0	39.806	0.99626356	3.1903999e-06	0.000750763	0.0015595482	0.00034126433	0.0010817561
26	3	3184	2276	23.324	42.19	805.5	59.036	0.9924948	1.6499953e-05	0.0011495311	0.0031215376	0.0010098278	0.002207743
26	10	1597	987	24.749	60.104	1212.5	81.87	0.9993918	8.45883e-06	4.417996e-06	0.00018555607	0.00011550383	0.00029423658
26	14	3026	501	29.698	41.012	982.0	45.0	0.28014943	4.1529926e-05	3.129435e-06	6.93593e-05	1.4431992e-05	0.7197221
26	5	3230	1888	26.707	58.807	1324.5	52.431	0.9998728	1.8937558e-07	2.0300485e-08	9.402228e-05	5.6359943e-07	3.2447184e-05
26	12	312	898	25.807	41.617	841.5	54.462	0.935959	9.417828e-06	7.864711e-06	0.0003611967	2.6646147e-05	0.063635945
26	13	1161	445	26.173	57.428	1265.5	6.71	0.9146342	8.143528e-08	3.2290406e-10	3.093617e-05	6.5429845e-08	0.0853347
26	1	3720	2584	26.744	58.406	1311.5	21.038	0.99986506	4.6604447e-07	5.290359e-08	1.900033e-05	3.4847728e-06	0.0001120099
26	11	1821	954	22.699	60.467	1162.5	6.843	0.99994206	1.4512449e-07	2.3978561e-09	1.2477057e-07	6.5458235e-06	5.1112384e-05
26	8	4615	1298	29.954	69.608	1688.5	75.651	0.9999603	6.9624826e-09	1.3108462e-10	9.5002093e-07	9.147805e-09	3.8766582e-05
26	7	3910	1473	23.049	51.413	993.0	49.086	0.9996884	8.3349784e-07	1.19153555e-07	0.0001659285	5.1642696e-06	0.00013966666
26	4	2781	1968	31.753	57.916	1415.0	64.179	0.9993476	1.082756e-07	2.3096614e-07	9.598874e-06	3.0930218e-07	0.0006421551
26	2	1123	2602	25.298	61.685	1278.5	72.759	0.9992003	6.3320516e-07	2.0073297e-07	0.000653463	4.4542903e-06	0.00014101923
26	6	4741	1556	28.518	58.019	1388.5	88.668	0.99875176	1.4654751e-06	2.009368e-09	3.5456415e-07	7.0632626e-07	0.0012456996
27	14	3007	525	29.698	48.795	1159.0	45.0	0.999577	3.5947176e-07	9.8173864e-08	2.6082136e-05	3.497614e-06	0.00039288562
27	3	3170	2257	24.413	36.056	704.0	56.31	0.99647397	1.3152132e-05	0.0012319383	0.0007625264	0.00011524417	0.0014030592
27	12	323	907	25.0	28.0	562.0	90.0	0.9999591	1.2145743e-05	3.437926e-07	3.5330522e-06	2.556551e-07	2.4580579e-05
27	0	3313	2693	25.676	58.363	1188.5	6.52	0.9935328	2.8968122e-07	1.413727e-07	3.0862475e-07	1.18393e-05	0.0064547095
27	7	3887	1479	27.409	37.326	826.0	38.66	0.9999746	2.8198324e-08	3.146732e-06	6.5884933e-06	3.149805e-07	1.5322476e-05
27	10	1602	1030	25.495	48.836	985.0	10.305	0.9999579	6.97849e-08	6.0878705e-07	1.937056e-05	3.5635895e-07	2.1710286e-05
