Frame	ID	CentroidX	CentroidY	Width	Length	Area	Angle	DIDnas	NONpro	PARbur	PARcau	SPIter	STEvir
21	0	69	2971	33.015	46.043	1195.0	35.218	0.9998754	1.7013967e-08	2.6911316e-06	4.7833237e-07	1.2958247e-07	0.00012122746
21	1	714	2836	33.0	39.0	981.5	90.0	0.9996681	7.81232e-08	1.4265579e-06	6.8906147e-06	1.8740423e-07	0.0003233847
21	2	4835	2604	26.954	60.254	1359.5	49.399	0.9985361	5.4707137e-08	4.7328385e-06	0.00012263312	3.1061306e-06	0.0013332791
21	3	2821	2515	30.48	44.045	1041.5	50.194	0.9999782	4.1802486e-09	2.8438353e-06	3.9185926e-07	7.780832e-08	1.8569088e-05
21	4	3406	2513	26.387	62.835	1381.5	63.435	0.7607771	3.2976222e-06	0.00013276502	0.0046980903	0.00792839	0.22646035
21	5	4989	2409	27.295	62.65	1351.0	28.61	0.717736	1.2132395e-05	6.1617735e-05	0.005831586	0.0008022734	0.27555633
21	6	4914	2386	30.104	46.672	1090.5	85.601	0.9999435	5.1283266e-08	1.2337477e-05	5.4158027e-06	1.6417464e-06	3.697431e-05
21	7	1468	2220	28.0	35.0	790.5	90.0	0.99445564	1.1581053e-05	0.00031496826	8.008397e-05	7.373327e-05	0.0050640097
21	8	3577	2211	25.06	60.415	1248.5	28.887	0.70897627	3.363432e-06	0.0004938953	0.21029513	0.0007741381	0.079457134
21	9	2860	1721	21.593	49.206	906.0	47.726	0.99994373	5.914243e-08	1.4232429e-05	4.014889e-06	1.640863e-05	2.1593067e-05
21	10	2889	1241	30.042	34.154	781.5	71.565	0.9378831	1.8504821e-05	0.000258879	0.0009521811	0.00030154065	0.060585912
21	11	1250	1052	25.02	59.076	1216.0	87.138	0.99602747	1.1039746e-08	6.878469e-08	2.0854336e-06	1.7883316e-05	0.0039523793
21	12	2442	1032	28.692	74.841	1828.0	49.236	0.90719765	1.2031723e-05	0.00010142531	0.0019292644	0.0010462857	0.08971331
21	13	2867	794	27.336	60.83	1420.0	38.991	0.99249214	1.8643908e-07	1.0584098e-05	0.00024543714	2.6427675e-05	0.0072253
21	14	3077	397	30.0	46.0	1108.5	90.0	0.9993782	6.9797146e-08	3.0337746e-06	3.2223388e-06	7.7898693e-07	0.0006146556
22	3	2829	2489	28.16	44.643	1009.5	74.055	0.99993753	3.096281e-08	4.5055196e-05	2.366959e-06	6.979137e-07	1.4351397e-05
22	9	2849	1701	25.986	31.133	625.0	29.745	0.9964671	9.142817e-06	0.0015438463	0.00036124545	0.00033116186	0.0012874468
22	6	4901	2412	26.954	53.202	1168.5	49.399	0.99999225	8.0082945e-09	6.8750383e-06	2.5488166e-07	2.1798165e-07	4.032884e-07
22	1	700	2857	29.517	62.099	1469.0	39.806	0.9930734	7.8232624e-08	3.485046e-06	4.3637614e-05	3.6169033e-06	0.0068758503
22	7	1441	2219	26.519	60.019	1375.5	88.264	0.93394977	1.8294147e-08	2.4650464e-07	0.00054844306	4.306951e-05	0.065458514
22	4	3442	2506	29.069	49.193	1093.5	26.565	0.9997284	2.4718874e-09	8.387658e-06	6.137704e-05	1.2497294e-06	0.00020060527
22	13	2899	771	29.21	52.842	1237.0	83.418	0.99997056	1.1264965e-09	3.3178955e-07	2.1919006e-06	2.7286254e-07	2.6669602e-05
22	14	3093	435	28.425	65.437	1496.0	51.34	0.014434742	8.887962e-08	5.0269813e-07	0.001095915	8.698445e-05	0.98438174
22	11	1296	1052	24.021	61.131	1187.0	86.186	0.99844354	1.473081e-08	4.3095292e-07	3.6063626e-05	1.7200807e-06	0.0015181776
22	10	2880	1208	25.962	65.253	1433.5	74.745	0.115824945	4.3946088e-07	1.9106312e-05	0.012713119	0.001636657	0.8698058
22	2	4800	2572	26.249	59.666	1309.0	39.806	0.9966427	2.780179e-07	2.094982e-05	0.00033366398	5.9805257e-05	0.0029426543
22	8	3568	2258	27.554	58.739	1237.5	78.024	0.9991103	2.6154266e-06	8.721927e-05	6.183928e-05	4.6483503e-05	0.0006916458
22	5	4949	2437	26.306	65.924	1427.0	80.538	0.8572587	2.667354e-09	2.8799045e-08	1.1272035e-05	0.00022461728	0.14250548
22	12	2478	1000	29.682	61.587	1489.0	56.889	0.9996331	3.4463987e-09	7.1116606e-06	0.00025298228	9.211166e-07	0.00010581423
23	3	2817	2481	29.411	38.013	859.0	55.008	0.99913114	2.4154747e-07	0.00016944391	3.9795592e-05	5.947006e-06	0.00065346074
23	9	2874	1682	21.101	53.416	936.5	53.842	0.45835707	2.6906542e-05	0.008173513	0.07944012	0.019564176	0.43443832
23	6	4890	2437	37.752	72.078	1706.0	78.179	0.03615123	1.9340855e-07	2.4003012e-07	1.4969235e-05	3.9468254e-05	0.9637938
23	4	3465	2540	25.539	64.275	1376.5	66.801	0.9634645	4.298864e-07	6.1438775e-05	0.0035343238	6.260802e-05	0.032876655
23	13	2937	784	28.018	64.07	1462.0	34.16	0.9999968	3.49299e-11	7.462848e-09	3.4635192e-08	1.4125416e-08	3.1733186e-06
23	11	1328	1037	26.926	46.648	964.5	31.329	0.9980222	2.7427186e-07	2.068795e-05	1.9043062e-05	6.398367e-06	0.0019314258
23	12	2517	995	28.862	64.761	1568.5	13.325	0.99903345	3.9572826e-10	2.5150014e-08	2.8984841e-06	1.0679016e-06	0.0009626701
23	10	2877	1165	30.549	50.152	1169.0	20.323	0.99937195	2.0436431e-08	5.122918e-06	7.2901394e-06	1.9171832e-06	0.00061374943
23	7	1397	2232	29.682	68.797	1571.5	57.724	0.9958496	3.1240546e-09	4.8629227e-07	2.0834106e-05	1.1531736e-06	0.004127845
